备注	src/views/basic/material/finished/index.vue:196 [script], src/views/basic/material/raw/index.vue:198 [script], src/views/basic/material/semi-finished/index.vue:196 [script], src/views/basic/packaging/index.vue:172 [script], src/views/label/record/index.vue:155 [script], src/views/report/components/ReportForm.vue:75 [attr:label]
操作	src/views/auth/init-wizard/index.vue:229 [script], src/views/basic/customer/index.vue:276 [script], src/views/basic/material/finished/index.vue:197 [script], src/views/basic/material/index.vue:242 [script], src/views/basic/material/raw/index.vue:199 [script], src/views/basic/material/semi-finished/index.vue:197 [script]
创建时间	src/views/basic/customer/index.vue:275 [script], src/views/basic/material/index.vue:241 [script], src/views/basic/supplier/index.vue:535 [script], src/views/report/datasource/index.vue:268 [script], src/views/report/index.vue:154 [script], src/views/system/dict/index.vue:146 [script]
模块	src/views/system/dict/index.vue:141 [script], src/views/system/dict/index.vue:152 [script], src/views/system/i18nMessage/index.vue:135 [script], src/views/system/i18nMessage/index.vue:144 [script], src/views/system/operationLog/index.vue:157 [script], src/views/system/operationLog/index.vue:172 [script]
确认删除	src/views/basic/material/finished/index.vue:283 [script], src/views/basic/material/index.vue:339 [script], src/views/basic/material/raw/index.vue:285 [script], src/views/basic/material/semi-finished/index.vue:283 [script], src/views/basic/packaging/index.vue:240 [script], src/views/label/binding/index.vue:70 [script]
审批状态	src/views/basic/customer/index.vue:274 [script], src/views/basic/customer/index.vue:284 [script], src/views/basic/material/finished/index.vue:195 [script], src/views/basic/material/index.vue:240 [script], src/views/basic/material/index.vue:252 [script], src/views/basic/material/raw/index.vue:197 [script]
物料编码	src/views/basic/material/finished/index.vue:189 [script], src/views/basic/material/index.vue:232 [script], src/views/basic/material/index.vue:245 [script], src/views/basic/material/raw/index.vue:191 [script], src/views/basic/material/semi-finished/index.vue:189 [script], src/views/label/record/index.vue:147 [script]
物料名称	src/views/basic/material/finished/index.vue:190 [script], src/views/basic/material/index.vue:233 [script], src/views/basic/material/index.vue:246 [script], src/views/basic/material/raw/index.vue:192 [script], src/views/basic/material/semi-finished/index.vue:190 [script], src/views/label/record/index.vue:148 [script]
账号	src/views/system/online/index.vue:104 [script], src/views/system/online/index.vue:115 [script], src/views/system/operationLog/index.vue:156 [script], src/views/system/operationLog/index.vue:171 [script], src/views/system/user/components/UserDetail.vue:13 [attr:label], src/views/system/user/components/UserFormDialog.vue:21 [attr:label]
状态	src/views/basic/material/finished/index.vue:194 [script], src/views/basic/material/index.vue:239 [script], src/views/basic/material/index.vue:251 [script], src/views/basic/material/raw/index.vue:196 [script], src/views/basic/material/semi-finished/index.vue:194 [script], src/views/basic/packaging/index.vue:171 [script]
半成品	src/views/basic/material/finished/index.vue:175 [script], src/views/basic/material/index.vue:179 [script], src/views/basic/material/index.vue:185 [script], src/views/basic/material/raw/index.vue:177 [script], src/views/basic/material/semi-finished/index.vue:175 [script]
成品	src/views/basic/material/finished/index.vue:176 [script], src/views/basic/material/index.vue:180 [script], src/views/basic/material/index.vue:186 [script], src/views/basic/material/raw/index.vue:178 [script], src/views/basic/material/semi-finished/index.vue:176 [script]
基础数据	src/views/basic/material/finished/index.vue:5 [text], src/views/basic/material/index.vue:5 [text], src/views/basic/material/raw/index.vue:5 [text], src/views/basic/material/semi-finished/index.vue:5 [text], src/views/basic/packaging/index.vue:5 [text]
计量单位	src/views/basic/material/finished/index.vue:192 [script], src/views/basic/material/index.vue:237 [script], src/views/basic/material/index.vue:249 [script], src/views/basic/material/raw/index.vue:194 [script], src/views/basic/material/semi-finished/index.vue:192 [script]
品牌	src/views/basic/material/finished/index.vue:193 [script], src/views/basic/material/index.vue:238 [script], src/views/basic/material/index.vue:250 [script], src/views/basic/material/raw/index.vue:195 [script], src/views/basic/material/semi-finished/index.vue:193 [script]
启用	src/views/basic/currency/index.vue:128 [script], src/views/basic/material/index.vue:198 [script], src/views/label/template/components/TemplateFormDialog.vue:84 [text], src/views/label/template/index.vue:88 [script], src/views/report/components/ReportForm.vue:70 [text]
提示	src/views/report/components/ReportDesigner.vue:15 [attr:message], src/views/report/components/ReportPreview.vue:14 [attr:message], src/views/report/datasource/index.vue:408 [script], src/views/report/index.vue:275 [script], src/views/system/dict/index.vue:307 [script]
已驳回	src/views/basic/customer/index.vue:236 [script], src/views/basic/material/finished/index.vue:184 [script], src/views/basic/material/index.vue:194 [script], src/views/basic/material/raw/index.vue:186 [script], src/views/basic/material/semi-finished/index.vue:184 [script]
用户名	src/views/report/datasource/index.vue:266 [script], src/views/system/dashboard/index.vue:349 [script], src/views/system/online/index.vue:105 [script], src/views/system/user/components/UserDetail.vue:10 [attr:label], src/views/system/user/components/UserFormDialog.vue:30 [attr:label]
原材料	src/views/basic/material/finished/index.vue:174 [script], src/views/basic/material/index.vue:178 [script], src/views/basic/material/index.vue:184 [script], src/views/basic/material/raw/index.vue:176 [script], src/views/basic/material/semi-finished/index.vue:174 [script]
